Date,Currency,Rate
2023-11-21,AUD,1.6653
2023-11-21,BGN,1.9558
2023-11-21,BRL,5.3454
2023-11-21,CAD,1.5029
2023-11-21,CHF,0.9673
2023-11-21,CNY,7.8178
2023-11-21,CZK,24.509
2023-11-21,DKK,7.4556
2023-11-21,GBP,0.87326
2023-11-21,HKD,8.5409
2023-11-21,HUF,379.18
2023-11-21,IDR,16979
2023-11-21,ILS,4.0655
2023-11-21,INR,91.24
2023-11-21,ISK,152.5
2023-11-21,JPY,161.61
2023-11-21,KRW,1413.92
2023-11-21,MXN,18.7681
2023-11-21,MYR,5.0974
2023-11-21,NOK,11.67
2023-11-21,NZD,1.8026
2023-11-21,PHP,60.724
2023-11-21,PLN,4.3625
2023-11-21,RON,4.9707
2023-11-21,SEK,11.404
2023-11-21,SGD,1.4638
2023-11-21,THB,38.545
2023-11-21,TRY,31.555
2023-11-21,USD,1.0955
2023-11-21,ZAR,20.14
2023-11-22,AUD,1.6618
2023-11-22,BGN,1.9558
2023-11-22,BRL,5.3402
2023-11-22,CAD,1.4959
2023-11-22,CHF,0.964
2023-11-22,CNY,7.8015
2023-11-22,CZK,24.48
2023-11-22,DKK,7.4547
2023-11-22,GBP,0.8703
2023-11-22,HKD,8.5061
2023-11-22,HUF,380.6
2023-11-22,IDR,17023
2023-11-22,ILS,4.0638
2023-11-22,INR,90.9
2023-11-22,ISK,153.9
2023-11-22,JPY,162.25
2023-11-22,KRW,1418.1
2023-11-22,MXN,18.7421
2023-11-22,MYR,5.1042
2023-11-22,NOK,11.702
2023-11-22,NZD,1.8065
2023-11-22,PHP,60.698
2023-11-22,PLN,4.3625
2023-11-22,RON,4.9708
2023-11-22,SEK,11.39
2023-11-22,SGD,1.4622
2023-11-22,THB,38.379
2023-11-22,TRY,31.455
2023-11-22,USD,1.0911
2023-11-22,ZAR,20.301
2023-11-23,AUD,1.6633
2023-11-23,BGN,1.9558
2023-11-23,BRL,5.3367
2023-11-23,CAD,1.494
2023-11-23,CHF,0.9644
2023-11-23,CNY,7.7852
2023-11-23,CZK,24.367
2023-11-23,DKK,7.4559
2023-11-23,GBP,0.8694
2023-11-23,HKD,8.5
2023-11-23,HUF,379.68
2023-11-23,IDR,16950
2023-11-23,ILS,4.0784
2023-11-23,INR,90.82
2023-11-23,ISK,152.9
2023-11-23,JPY,162.98
2023-11-23,KRW,1418.85
2023-11-23,MXN,18.7094
2023-11-23,MYR,5.1001
2023-11-23,NOK,11.711
2023-11-23,NZD,1.8052
2023-11-23,PHP,60.364
2023-11-23,PLN,4.3655
2023-11-23,RON,4.9699
2023-11-23,SEK,11.4385
2023-11-23,SGD,1.4618
2023-11-23,THB,38.444
2023-11-23,TRY,31.354
2023-11-23,USD,1.09
